text,mbti
이건 이렇게 처리하는 게 제일 빠르다 ㅋㅋ,ESTJ
이런 감정이 아직도 남아 있는 것 같아 일단 해보자,INFP
이건 느낌상 방향이 중요한 것 같아 지금 당장!,INFJ
혹시 불편한 건 없었어? 너 생각은 어때?,ISFJ
확정된 일정대로 가자 너 생각은 어때?,ISTJ
원리부터 이해하고 싶다 일단 해보자,INTP
정해진 규칙대로 진행하는 게 맞아 완전 공감이야,ISTJ
이건 느낌상 방향이 중요한 것 같아 ㅎㅎ,INFJ
이건 구조부터 다시 정리해야 할 것 같아 ㅋㅋ,INTJ
다른 방식으로도 해볼 수 있지 않을까? 너 생각은 어때?,ENTP
다른 방식으로도 해볼 수 있지 않을까? ㅎㅎ,ENTP
와 대박 너무 웃긴데? 지금 느낌이 좀 그래,ESFP
이건 내가 정리해서 바로 실행하자 지금 당장!,ENTJ
이게 왜 이렇게 되는지 이론적으로 좀 따져봐야겠어 ㅎㅎ,INTP
너가 편한 방향으로 가도 괜찮아 일단 해보자,ENFJ
그냥 바로 해보는 게 제일 빠르지 지금 당장!,ISTP
그냥 바로 해보는 게 제일 빠르지 지금 느낌이 좀 그래,ISTP
내가 챙길 수 있는 건 말해줘 나중에 이야기해도 될까?,ISFJ
너가 편한 방향으로 가도 괜찮아 지금 느낌이 좀 그래,ENFJ
좀 의미 있는 방향으로 가고 싶어 지금 당장!,INFJ
와 지금 바로 해야 각이지 나중에 이야기해도 될까?,ESTP
역할 분담부터 다시 하자 너 생각은 어때?,ESTJ
원리부터 이해하고 싶다 나중에 이야기해도 될까?,INTP
이게 왜 이렇게 되는지 이론적으로 좀 따져봐야겠어 ㅋㅋ,INTP
와 이건 완전 설렌다 지금 느낌이 좀 그래,ENFP
정해진 규칙대로 진행하는 게 맞아 일단 해보자,ISTJ
지금 이 분위기 너무 좋다 지금 느낌이 좀 그래,ISFP
이건 느낌상 방향이 중요한 것 같아 지금 당장!,INFJ
괜히 마음이 찡하네 ㅎㅎ,INFP
다 같이 잘 맞춰서 가보자! 나중에 이야기해도 될까?,ENFJ
역할 분담부터 다시 하자 ㅎㅎ,ESTJ
계획 세워서 차분하게 진행하는 게 좋아 지금 느낌이 좀 그래,INTJ
이거 완전 재밌는 아이디어인데? 나중에 이야기해도 될까?,ENTP
와 대박 너무 웃긴데? ㅎㅎ,ESFP
계획 세워서 차분하게 진행하는 게 좋아 ㅋㅋ,INTJ
괜히 마음이 찡하네 너 생각은 어때?,INFP
다 같이 잘 맞춰서 가보자! 지금 느낌이 좀 그래,ENFJ
와 지금 바로 해야 각이지 너 생각은 어때?,ESTP
괜히 마음이 찡하네 나중에 이야기해도 될까?,INFP
와 대박 너무 웃긴데? 완전 공감이야,ESFP
정해진 규칙대로 진행하는 게 맞아 완전 공감이야,ISTJ
계획 세워서 차분하게 진행하는 게 좋아 지금 느낌이 좀 그래,INTJ
다른 방식으로도 해볼 수 있지 않을까? 일단 해보자,ENTP
생각만 해도 너무 기대돼 완전 공감이야,ENFP
이건 구조부터 다시 정리해야 할 것 같아 ㅋㅋ,INTJ
정해진 규칙대로 진행하는 게 맞아 ㅎㅎ,ISTJ
괜히 마음이 찡하네 지금 느낌이 좀 그래,INFP
이런 감정이 아직도 남아 있는 것 같아 일단 해보자,INFP
생각만 해도 너무 기대돼 너 생각은 어때?,ENFP
그냥 바로 해보는 게 제일 빠르지 지금 당장!,ISTP
혹시 불편한 건 없었어? 나중에 이야기해도 될까?,ISFJ
와 지금 바로 해야 각이지 일단 해보자,ESTP
확정된 일정대로 가자 지금 당장!,ISTJ
서로 배려하면서 가자! 지금 느낌이 좀 그래,ESFJ
이런 감정이 아직도 남아 있는 것 같아 일단 해보자,INFP
서로 배려하면서 가자! 지금 느낌이 좀 그래,ESFJ
지금 이 순간이 제일 중요하지! 너 생각은 어때?,ESFP
괜히 마음이 차분해진다 완전 공감이야,ISFP
생각만 해도 너무 기대돼 지금 느낌이 좀 그래,ENFP
확정된 일정대로 가자 일단 해보자,ISTJ
와 대박 너무 웃긴데? 일단 해보자,ESFP
이건 느낌상 방향이 중요한 것 같아 지금 당장!,INFJ
지금 이 순간이 제일 중요하지! 지금 느낌이 좀 그래,ESFP
이거 지금 바로 가도 되지? 나중에 이야기해도 될까?,ESTP
계획 세워서 차분하게 진행하는 게 좋아 지금 당장!,INTJ
이건 이렇게 처리하는 게 제일 빠르다 지금 느낌이 좀 그래,ESTJ
이건 구조부터 다시 정리해야 할 것 같아 나중에 이야기해도 될까?,INTJ
이런 감정이 아직도 남아 있는 것 같아 ㅋㅋ,INFP
너가 편한 방향으로 가도 괜찮아 일단 해보자,ENFJ
확정된 일정대로 가자 ㅋㅋ,ISTJ
괜히 마음이 차분해진다 완전 공감이야,ISFP
역할 분담부터 다시 하자 지금 느낌이 좀 그래,ESTJ
역할 분담부터 다시 하자 완전 공감이야,ESTJ
이건 이렇게 처리하는 게 제일 빠르다 완전 공감이야,ESTJ
일단 손부터 움직이자 지금 당장!,ISTP
괜히 마음이 차분해진다 ㅋㅋ,ISFP
역할 분담부터 다시 하자 나중에 이야기해도 될까?,ESTJ
서로 배려하면서 가자! 일단 해보자,ESFJ
생각만 해도 너무 기대돼 지금 느낌이 좀 그래,ENFP
와 대박 너무 웃긴데? 나중에 이야기해도 될까?,ESFP
결론부터 말하면 이렇게 가는 게 맞아 일단 해보자,ENTJ
역할 분담부터 다시 하자 ㅎㅎ,ESTJ
확정된 일정대로 가자 일단 해보자,ISTJ
결론부터 말하면 이렇게 가는 게 맞아 나중에 이야기해도 될까?,ENTJ
이건 내가 정리해서 바로 실행하자 지금 당장!,ENTJ
다른 방식으로도 해볼 수 있지 않을까? 지금 느낌이 좀 그래,ENTP
와 지금 바로 해야 각이지 일단 해보자,ESTP
너 기분은 괜찮아? ㅎㅎ,ESFJ
와 지금 바로 해야 각이지 완전 공감이야,ESTP
내가 챙길 수 있는 건 말해줘 완전 공감이야,ISFJ
와 이건 완전 설렌다 일단 해보자,ENFP
다 같이 잘 맞춰서 가보자! 지금 당장!,ENFJ
이건 구조부터 다시 정리해야 할 것 같아 일단 해보자,INTJ
이건 구조부터 다시 정리해야 할 것 같아 일단 해보자,INTJ
내가 챙길 수 있는 건 말해줘 너 생각은 어때?,ISFJ
너가 편한 방향으로 가도 괜찮아 지금 느낌이 좀 그래,ENFJ
생각만 해도 너무 기대돼 완전 공감이야,ENFP
원리부터 이해하고 싶다 너 생각은 어때?,INTP
다 같이 잘 맞춰서 가보자! 나중에 이야기해도 될까?,ENFJ
너 기분은 괜찮아? 너 생각은 어때?,ESFJ
다 같이 잘 맞춰서 가보자! ㅋㅋ,ENFJ
괜히 마음이 찡하네 ㅎㅎ,INFP
와 대박 너무 웃긴데? ㅎㅎ,ESFP
너 기분은 괜찮아? ㅎㅎ,ESFJ
좀 의미 있는 방향으로 가고 싶어 ㅋㅋ,INFJ
확정된 일정대로 가자 지금 느낌이 좀 그래,ISTJ
그냥 바로 해보는 게 제일 빠르지 지금 느낌이 좀 그래,ISTP
지금 이 분위기 너무 좋다 너 생각은 어때?,ISFP
이거 완전 재밌는 아이디어인데? 지금 당장!,ENTP
이건 내가 정리해서 바로 실행하자 지금 당장!,ENTJ
다른 방식으로도 해볼 수 있지 않을까? 너 생각은 어때?,ENTP
계획 세워서 차분하게 진행하는 게 좋아 완전 공감이야,INTJ
일단 손부터 움직이자 나중에 이야기해도 될까?,ISTP
괜히 마음이 차분해진다 완전 공감이야,ISFP
다 같이 잘 맞춰서 가보자! ㅎㅎ,ENFJ
이건 구조부터 다시 정리해야 할 것 같아 너 생각은 어때?,INTJ
지금 이 분위기 너무 좋다 완전 공감이야,ISFP
이건 내가 정리해서 바로 실행하자 ㅋㅋ,ENTJ
이건 느낌상 방향이 중요한 것 같아 지금 느낌이 좀 그래,INFJ
이거 지금 바로 가도 되지? 지금 당장!,ESTP
이건 이렇게 처리하는 게 제일 빠르다 ㅎㅎ,ESTJ
와 이건 완전 설렌다 지금 느낌이 좀 그래,ENFP
지금 이 순간이 제일 중요하지! 지금 느낌이 좀 그래,ESFP
결론부터 말하면 이렇게 가는 게 맞아 너 생각은 어때?,ENTJ
지금 이 분위기 너무 좋다 ㅎㅎ,ISFP
내가 챙길 수 있는 건 말해줘 지금 느낌이 좀 그래,ISFJ
그냥 바로 해보는 게 제일 빠르지 ㅎㅎ,ISTP
혹시 불편한 건 없었어? 너 생각은 어때?,ISFJ
이거 지금 바로 가도 되지? 완전 공감이야,ESTP
지금 이 순간이 제일 중요하지! ㅎㅎ,ESFP
다른 방식으로도 해볼 수 있지 않을까? 너 생각은 어때?,ENTP
다른 방식으로도 해볼 수 있지 않을까? 지금 느낌이 좀 그래,ENTP
정해진 규칙대로 진행하는 게 맞아 ㅎㅎ,ISTJ
이거 완전 재밌는 아이디어인데? ㅎㅎ,ENTP
서로 배려하면서 가자! ㅎㅎ,ESFJ
정해진 규칙대로 진행하는 게 맞아 ㅎㅎ,ISTJ
이건 느낌상 방향이 중요한 것 같아 ㅋㅋ,INFJ
괜히 마음이 차분해진다 ㅎㅎ,ISFP
와 지금 바로 해야 각이지 완전 공감이야,ESTP
계획 세워서 차분하게 진행하는 게 좋아 너 생각은 어때?,INTJ
원리부터 이해하고 싶다 지금 느낌이 좀 그래,INTP
확정된 일정대로 가자 ㅎㅎ,ISTJ
이게 왜 이렇게 되는지 이론적으로 좀 따져봐야겠어 ㅋㅋ,INTP
그냥 바로 해보는 게 제일 빠르지 나중에 이야기해도 될까?,ISTP
원리부터 이해하고 싶다 ㅋㅋ,INTP
이게 왜 이렇게 되는지 이론적으로 좀 따져봐야겠어 일단 해보자,INTP
이거 완전 재밌는 아이디어인데? 완전 공감이야,ENTP
좀 의미 있는 방향으로 가고 싶어 지금 당장!,INFJ
너가 편한 방향으로 가도 괜찮아 완전 공감이야,ENFJ
좀 의미 있는 방향으로 가고 싶어 지금 당장!,INFJ
결론부터 말하면 이렇게 가는 게 맞아 일단 해보자,ENTJ
지금 이 순간이 제일 중요하지! 나중에 이야기해도 될까?,ESFP
이거 지금 바로 가도 되지? 너 생각은 어때?,ESTP
이건 느낌상 방향이 중요한 것 같아 ㅋㅋ,INFJ
확정된 일정대로 가자 완전 공감이야,ISTJ
이런 감정이 아직도 남아 있는 것 같아 지금 당장!,INFP
이거 완전 재밌는 아이디어인데? 지금 당장!,ENTP
너가 편한 방향으로 가도 괜찮아 너 생각은 어때?,ENFJ
다른 방식으로도 해볼 수 있지 않을까? 나중에 이야기해도 될까?,ENTP
좀 의미 있는 방향으로 가고 싶어 완전 공감이야,INFJ
서로 배려하면서 가자! ㅋㅋ,ESFJ
역할 분담부터 다시 하자 나중에 이야기해도 될까?,ESTJ
이건 이렇게 처리하는 게 제일 빠르다 지금 당장!,ESTJ
와 지금 바로 해야 각이지 완전 공감이야,ESTP
다 같이 잘 맞춰서 가보자! ㅎㅎ,ENFJ
와 이건 완전 설렌다 완전 공감이야,ENFP
혹시 불편한 건 없었어? 지금 느낌이 좀 그래,ISFJ
다 같이 잘 맞춰서 가보자! 나중에 이야기해도 될까?,ENFJ
와 지금 바로 해야 각이지 너 생각은 어때?,ESTP
이게 왜 이렇게 되는지 이론적으로 좀 따져봐야겠어 ㅋㅋ,INTP
다 같이 잘 맞춰서 가보자! 지금 당장!,ENFJ
그냥 바로 해보는 게 제일 빠르지 일단 해보자,ISTP
괜히 마음이 차분해진다 지금 당장!,ISFP
지금 이 분위기 너무 좋다 너 생각은 어때?,ISFP
지금 이 순간이 제일 중요하지! 너 생각은 어때?,ESFP
이거 지금 바로 가도 되지? ㅎㅎ,ESTP
이게 왜 이렇게 되는지 이론적으로 좀 따져봐야겠어 지금 느낌이 좀 그래,INTP
와 이건 완전 설렌다 ㅋㅋ,ENFP
이거 지금 바로 가도 되지? 지금 당장!,ESTP
생각만 해도 너무 기대돼 나중에 이야기해도 될까?,ENFP
이건 느낌상 방향이 중요한 것 같아 일단 해보자,INFJ
이건 느낌상 방향이 중요한 것 같아 나중에 이야기해도 될까?,INFJ
너가 편한 방향으로 가도 괜찮아 너 생각은 어때?,ENFJ
일단 손부터 움직이자 ㅋㅋ,ISTP
와 지금 바로 해야 각이지 지금 느낌이 좀 그래,ESTP
